plotcode,corner,gps_code,method,dec_latitude,dec_longitude,elevation_m
ABGD-001,NE,DP1CNE,GPS,-14.94975999,15.00739102,1276.868164
ABGD-001,NW,DP1CNW,GPS,-14.94977198,15.00722104,1281.304688
ABGD-001,SE,DP1CSE,GPS,-14.95019501,15.00742204,1278.359497
ABGD-001,SW,DP1CSW,GPS,-14.95022099,15.00723302,1282.839966
ABGD-002,NE,DP2CNE,GPS,-14.95425898,15.03339596,1310.4729
ABGD-002,NW,DP2CNW,GPS,-14.95434204,15.03321701,1310.673218
ABGD-002,SE,DP2CSE,GPS,-14.95467698,15.03356704,1311.074951
ABGD-002,SW,DP2CSW,GPS,-14.95475904,15.03339797,1311.444336
ABGD-003,NE,DP3CNE,GPS,-15.12261897,15.270563,1225.690918
ABGD-003,NW,DP3CNW,GPS,-15.12259299,15.27038002,1225.992676
ABGD-003,SE,DP3CSE,GPS,-15.12306397,15.27045404,1226.290161
ABGD-003,SW,DP3CSW,GPS,-15.12303396,15.270261,1226.376953
ABGD-004,NE,DP4CNE,GPS,-15.16680803,15.27416504,1187.580688
ABGD-004,NW,DP4CNW,GPS,-15.16680996,15.27398902,1187.922974
ABGD-004,SE,DP4CSE,GPS,-15.16725102,15.27418097,1187.996094
ABGD-004,SW,DP4CSW,GPS,-15.16724699,15.27402196,1189.436035
ABGD-005,NE,DP5CNE,GPS,-14.96595601,14.74259002,1318.598877
ABGD-005,NW,DP5CNW,GPS,-14.96591502,14.74243001,1317.617188
ABGD-005,SE,DP5CSE,GPS,-14.96643797,14.74256303,1318.321045
ABGD-005,SW,DP5CSW,GPS,-14.96635498,14.74234301,1317.705444
ABGD-006,NE,DP6CNE,GPS,-14.96488203,14.74411796,1329.009155
ABGD-006,NW,DP6CNW,GPS,-14.96489,14.74393004,1329.573853
ABGD-006,SE,DP6CSE,GPS,-14.96532602,14.74424997,1330.309937
ABGD-006,SW,DP6CSW,GPS,-14.96534304,14.74405803,1330.518677
ABGD-007,NE,DP7CNE,GPS,-14.94644696,14.72436299,1321.746826
ABGD-007,NW,DP7CNW,GPS,-14.94643103,14.72418797,1322.800415
ABGD-007,SE,DP7CSE,GPS,-14.94690897,14.72440699,1321.74707
ABGD-007,SW,DP7CSW,GPS,-14.94688902,14.72421404,1321.470825
ABGD-008,NE,DP8CNE,GPS,-15.00983703,14.67412597,1314.970703
ABGD-008,NW,DP8CNW,GPS,-15.00994901,14.67398096,1314.053589
