plot,stem_id,base_stem_id,species_code,species_binomial,dbh_cm,pom,height_m,gps_number,dec_latitude,dec_longitude,standing_fallen,rtd,upsvq,death_cause,condition,notes_stem,notes_base,subplot_10m,alive_dead,year_survey,name_check
1,1_1,1_1,CZ,Combretum zeyheri,6.1,1.3,3.2,1245,-14.95018797,15.00725297,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_2,1_2,CZ,Combretum zeyheri,4.5,1.3,1.5,1246,-14.95017003,15.00724501,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_3,1_2,CZ,Combretum zeyheri,4,1.3,1.5,1246,-14.95017003,15.00724501,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_4,1_4,BB,Baphia bequaerti,4.6,1.3,1.7,1247,-14.95016903,15.00724602,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_5,1_4,BB,Baphia bequaerti,4,1.3,1.7,1247,-14.95016903,15.00724602,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_6,1_6,CZ,Combretum zeyheri,4.7,1.3,2.6,1248,-14.95014598,15.007258,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_7,1_7,CZ,Combretum zeyheri,4.5,0.3,2.8,1248,-14.95014598,15.007258,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_8,1_8,RE,Rothmannia engleriana,4.3,0.3,2.1,1249,-14.95017196,15.00728901,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_9,1_9,RE,Rothmannia engleriana,4.6,0.5,2.1,1249,-14.95017196,15.00728901,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_10,1_10,BM,Baphia massaiensis,5.3,0.5,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_11,1_10,BM,Baphia massaiensis,4.3,1.3,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_12,1_10,BM,Baphia massaiensis,4.8,1.3,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_13,1_10,BM,Baphia massaiensis,5.3,1.1,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_14,1_10,BM,Baphia massaiensis,5.3,1.2,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_15,1_10,BM,Baphia massaiensis,4.4,0.5,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_16,1_10,BM,Baphia massaiensis,4,0.5,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_17,1_10,BM,Baphia massaiensis,4.2,0.5,1.8,1250,-14.95020197,15.00732296,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_18,1_18,Map,Pseudolachnostylis maprouneifolia,4.9,0.5,2.2,1251,-14.95019702,15.00733604,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_19,1_18,Map,Pseudolachnostylis maprouneifolia,4.6,0.5,2.2,1251,-14.95019702,15.00733604,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_20,1_20,LN,Lonchocarpus nelsii,8.6,1.1,4.2,1252,-14.95018696,15.00738298,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_21,1_21,LN,Lonchocarpus nelsii,5.3,1.1,4.2,1252,-14.95018696,15.00738298,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_22,1_22,LN,Lonchocarpus nelsii,5.5,1.3,4.2,1252,-14.95018696,15.00738298,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_23,1_23,LN,Lonchocarpus nelsii,4.4,1.3,1.8,1253,-14.95012896,15.00739203,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
1,1_24,1_24,LN,Lonchocarpus nelsii,4.8,1.3,2.4,1254,-14.95009803,15.00739404,S,NA,NA,NA,NA,NA,NA,FALSE,A,2019,FALSE
