plotcode,corner,gps_code,method,dec_latitude,dec_longitude,elevation_m
ABG-005,NW,P5_C_NW,GNSS,-15.12524553,14.76993548,NA
ABG-005,NE,P5_C_NE,GNSS,-15.12477941,14.7707295,NA
ABG-005,SE,P5_C_SE,GNSS,-15.12552775,14.77123878,NA
ABG-005,SW,P5_C_SW,GNSS,-15.12602362,14.77045373,NA
ABG-006,NW,P6CNW,GNSS,-15.12629259,14.72349378,NA
ABG-006,NE,P6CNE,GNSS,-15.126175,14.72441462,NA
ABG-006,SE,P6CSE,GPS,-15.12707798,14.72448796,1257.085693
ABG-006,SW,P6CSW,GNSS,-15.12719616,14.72356369,NA
ABG-007,NW,P7CNW,GPS,-15.12858999,14.69154297,1266.062012
ABG-007,NE,P7CNE,GPS,-15.12874296,14.69249298,1267.365845
ABG-007,SE,P7CSE,GPS,-15.12962004,14.69236499,1260.49231
ABG-007,SW,P7CSW,GPS,-15.12949297,14.691447,1262.113647
ABG-008,NW,P8CNW,GPS,-15.10803203,14.87136003,1235.335449
ABG-008,NE,P8CNE,GPS,-15.10781896,14.87223702,1238.18103
ABG-008,SE,P8CSE,GPS,-15.10866897,14.872593,1229.778687
ABG-008,SW,P8CSW,GPS,-15.10884097,14.871686,1230.840576
ABG-009,N,PLOT9_N,GPS,-15.19610999,14.813945,1237.049927
ABG-009,E,PLOT9_E,GPS,-15.19667904,14.81464203,1235.390381
ABG-009,S,PLOT9_S,GPS,-15.19741698,14.814075,1233.610352
ABG-009,W,PLOT9_W,GPS,-15.19680502,14.81334703,1235.287231
ABG-010,NW,P10CNW,GPS,-15.09844498,14.83780299,1234.072632
ABG-010,NE,P10CNE,GPS,-15.09832302,14.83870799,1241.770752
ABG-010,SE,P10CSE,GPS,-15.09917898,14.83892298,1241.943604
ABG-010,SW,P10CSW,GPS,-15.099312,14.83800801,1232.906128
ABG-011,NW,P11CNW,GPS,-15.05741699,14.89294301,1270.499023
ABG-011,NE,P11CNE,GPS,-15.05746501,14.89385898,1268.451172
ABG-011,SE,P11CSE,GPS,-15.05837101,14.89385898,1268.280151
ABG-011,SW,P11CSW,GPS,-15.05830798,14.89295097,1272.214722
ABG-012,N,P12CN,GPS,-15.11609098,14.90678002,1230.087158
ABG-012,E,P12CE,GPS,-15.11659498,14.90754596,1230.924683
ABG-012,S,P12CS,GPS,-15.11726403,14.90692704,1230.42334
ABG-012,W,P12CW,GPS,-15.11675097,14.90614199,1228.642822
ABG-013,NW,P13CNW,GPS,-15.19760298,14.81720899,1198.701416
ABG-013,NE,P13CNE,GPS,-15.19788201,14.81816696,1228.381226
ABG-013,SE,P13CSE,GPS,-15.19876999,14.81796504,1225.768066
ABG-013,SW,P13CSW,GPS,-15.19847402,14.81707304,1222.371582
ABG-014,NW,P14CNW,GPS,-15.011644,14.79404602,1322.799805
ABG-014,NE,P14CNE,GPS,-15.01123304,14.79488103,1321.472168
ABG-014,SE,P14CSE,GPS,-15.01208397,14.79513701,1321.721558
ABG-014,SW,P14CSW,GPS,-15.012492,14.79429698,1323.792847
ABG-015,NW,P14CNW,GPS,-15.13271799,14.721374,1263.883667
ABG-015,NE,P14CNE,GPS,-15.13279301,14.72231302,1264.006714
ABG-015,SE,P14CSE,GPS,-15.13368501,14.72211404,1266.973877
ABG-015,SW,P14CSW,GPS,-15.13361201,14.72119102,1265.928833
ABG-001,NW,NG-NW,GPS,-14.96174804,14.70511001,1293.595459
ABG-001,NE,NG-NE,GPS,-14.96194401,14.706102,1323.51709
ABG-001,SE,NG-SE,GPS,-14.96280399,14.70588801,1325.762817
ABG-001,SW,NG-SW,GPS,-14.96266703,14.70501102,1322.183105
ABG-002,NW,PLOT2-NW,GPS,-15.11328497,14.81392404,1245.914795
ABG-002,NE,PLOT2-NE,GPS,-15.11398201,14.81451798,1255.218384
ABG-002,SE,PLOT2-SE,GPS,-15.11456698,14.81385296,1255.050415
ABG-002,SW,PLOT2-SW,GPS,-15.113879,14.81324997,1251.282227
ABG-003,NW,PLOT3-NW,GPS,-15.19280802,14.90066601,1212.466675
ABG-003,NE,PLOT3-NE,GPS,-15.19293803,14.90158902,1210.267822
ABG-003,SE,PLOT3-SE,GPS,-15.19383699,14.90148299,1235.345215
ABG-003,SW,PLOT3-SW,GPS,-15.19371101,14.900563,1207.738647
ABG-004,NW,PLOT4-NW,GPS,-15.16269201,14.92572698,1195.913208
ABG-004,NE,PLOT4-NE,GPS,-15.16246201,14.92662502,1213.105835
ABG-004,SE,PLOT4-SE,GPS,-15.16334597,14.926838,1213.441162
ABG-004,SW,PLOT4-SW,GPS,-15.16359801,14.92595396,1198.902222
